category,task,confidence,original_review
netcode/desync,optimize server synchronization,1.0,You will die and you will be behind cover and it will be due to the desync!!
netcode/desync,optimize server synchronization,0.9,"I played the Server Slam and other prior betas for this game absolutely no problem. Full release rolls out and I can't even load into the game after the first initial cut scene, I'm on the exact same hardware that I was playing in the betas on as well. Running the game as Admin makes the problem worse and it won't even boot up in that instance. Left a support ticket with Embark on launch day and I've had no communications back from them either."
netcode/desync,optimize server synchronization,1.0,running smoothly on 60 fps and then you get spikes of 13 fps for a period of time... not a fun experiance
netcode/desync,"rebalance weapon damage curves, optimize server synchronization",0.8,Vary fun
netcode/desync,optimize server synchronization,0.9,I would recommend this game if the net-code wasn't so f4cking dogsh!t!!!
other,Improve single-player experience,0.9,Not very fun solo.
netcode/desync,optimize server synchronization,0.9,"game will not start. It keeps asking me to create a memory dump or there are multiple instances of the game running, i've been trying to open it for 30 minutes and it won't work
When i was able to play it was pretty cool tho"
netcode/desync,optimize server synchronization,0.9,unless I restart my computer I get disconnected every 30 seconds. have lost loot due to this.
weapon/ai balance,Improve AI voice acting,0.8,Everything about this game is promising aside from the AI VOs.
netcode/desync,optimize server synchronization,0.95,"if you don't defib me right now, there are 7 teams in the area and we're all teaming and I'll command them to converge on your location right now"
netcode/desync,optimize server synchronization,1.0,It keeps crashing with pioneer game
matchmaking/servers,Implement employment-based matchmaking system,1.0,Too many campers that are not employed. Please allow for employment only queues so that the homeless folks can play with eachother
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,ngl ts fye asl twin
weapon/ai balance,rebalance weapon damage curves,0.8,"She Arc on my Raiders till I finals
She Raids my Arc till I finals
She Arc on my finals till I raid
She final on my Raiders till I Arc"
netcode/desync,optimize server synchronization,0.95,servers dont work 🥺
weapon/ai balance,rebalance weapon damage curves,1.0,Meeeehhhhh unemployed people already have the best guns and equipment.. cant compete at all with the gray or green gun! was 'fun' while it lasted
pve/mission loop,Create a dedicated PvE map to prevent player interference in battles,1.0,"The game is good, but it also needs a map dedicated exclusively to PvE. I'm fed up with players ruining my battles with bots."
other,Improve sound design to reduce player stress and make it more immersive,0.9,The sounds are chef's kiss - I'm constantly on edge
netcode/desync,Optimize server synchronization,0.9,have to restart my pc every time i want to play or i get disconnected
netcode/desync,optimize server synchronization,0.9,"Could not even play the game, kept crashing saying ""System Integrity Violation"", tried a few things I found online but nothing fixed it, game looks fun but I'll refunded as i'm seeing no solution., if someone finds a solution please let me know and I might buy it again but for now I'll Refund it."
netcode/desync,Optimize server synchronization for DAVE,1.0,I'm ARCing it with DAVE
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.8,"The game itself is firm and thrilling. After 7 plus hours, it gets old to constantly get unlucky and walk in on a group of 5 or more solo raiders who decided to just ""Not shoot"" each other to take you out. I will continue to grind. This game will test your ""oh lets team up and get through things together"" human empathy. Im now a raiding, backstabbing, fool, scavenging bodies, creepy, stalky worm. Thx Arc Raiders"
netcode/desync,Optimize server synchronization,1.0,"*Broken Again*
Finds a match then crashes upon joining."
netcode/desync,optimize server synchronization,0.9,"This game is fun and I enjoyed it for about 1 day and then I updated my NVIDIA driver and now it just keeps crashing for no reason. Crashed once in a game, rebooted and loaded back in...instantly killed by another team before the game even loaded, then it crashed again. If the whole game is looting and exfilling and it crashes nonstop...then how can you possibly complete the missions."
other,Improve clanker mechanics,0.8,Down with the Clankers
weapon/ai balance,Improve gas mechanics to make them more balanced and enjoyable for players,0.95,gas
other,Improve single-player experience,1.0,"Pity, this suffers from the same issue as many other games, it's not single player friendly."
netcode/desync,Optimize server synchronization and rebalance weapon damage curves to resolve Unity crashes and AREX-0024 issues.,1.0,I dont know whats wrong its just unity crashes and arex 0024 graping me every other game.
other,Improve overall player satisfaction by addressing visual and user experience issues,0.8,Was not a fan
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"The game itself is almost perfect, just fix ur desyncs to make it playable. Netcode is a hot garbage, especially after the 'servers incident' few days ago. I'm dying behind the cover from invisible enemies all the time (no time to react to strafes of the enemy), the hit reg / delay is a joke right now."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Game has potential, basic bots have way too much hp and damage so playing with any sort of lower end loadout slows your game down. Pvp is fun when indoors and no bots near, if there is a single stupid arc robot near you during pvp it becomes the worst experience in any shooter. Also gun play needs work, as of right now its worse gta gun play. Game might survive for 6 months as it is now."
netcode/desync,optimize server synchronization,0.9,I would like to start this by saying that I love this game and sadly have to leave a negative review. I just loaded into 2 rounds back to back and the game wouldn't let me move front or back or side to side. This has happened to me 1 other time and its extremely frustrating. Now if I decide that I want to bring a good kit in I risk the chance of losing it because the game said so. This random Glitch is unacceptable. I literally lose before I have the chance to do anything when I load in because the game doesn't let me move. The game also crashes sometimes.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Toxic Raiders is brutal. PVP meetups are never an even match and never last long, more like insta-slaughter, either that or go around simping beggin ppl not to kill you. PVE only would be awesome, I wish the devs delivered on original promise."
netcode/desync,optimize server synchronization,0.95,played 3 raids and now all of a sudden it crashes right as its trying to load me into my raid. i really fw it but i actually just cant play now
bugs/polish,Fix gameplay bug causing players to be randomly shot in elevators,0.9,Amazing I meet a dude right at the end of the game and I shout at the top of my lungs don't shoot and he lets me in the elevator to just call the lift and shoot me point blank in the face and it cutting off saying successful extraction amazing
pvp experience,"remove third person lobbies, enable radial assignment",0.8,My opinions.
other,Improve voice acting,1.0,"Not a bad game at all, honestly. However... it's painfully stained by the AWFUL voice acting. There's no emotion, and it feels almost empty. I don't know who the voice director is, but you might need a new one."
netcode/desync,Optimize server synchronization to prevent desync and improve game stability.,0.8,Keeps saying im cheating and kicks me out. When thats not happening its saying my install is corrupted and i have to reinstall which ive done ...twice. When the game is running properly and not broken itll be 10/10. until then 3/10
netcode/desync,optimize server synchronization,0.95,Third person peeking with terrible netcode and laggy servers. Can't see ping ingame but feels like 350ms+ everygame.
weapon/ai balance,Improve gameplay balance and responsiveness,0.8,Don't Shoot
netcode/desync,optimize server synchronization and rebalance weapon damage curves to improve gameplay experience for non-aggressive players.,0.8,"i thought this was different from other extraction shooters. it isnt. the playerbase continues to decline as shoot on sight trolls run everyone else off. there are no friendlies any more, and if you arent shooting everyone youre going to be the one wasting your time for nothing. the dev team also used AI all over the place and its obvious."
weapon/ai balance,rebalance weapon damage curves,0.8,imbrickedup
other,Implement an accessibility option to reduce/turn off Tinnitus sounds from explosions.,1.0,"Good start, but desperately need accessibility option to reduce/turn off Tinnitus sounds from explosions if your going to include them as a 'feature'."
netcode/desync,optimize server synchronization,0.95,"Anti-cheat crashed while I had an extremely valuable loadout. Game shut down. Log in, it tells me I can reconnect. I reconnect and it tells me the session has ended (this was about three minutes into a game.) I lose all of my stuff. Waste of my fucking time."
netcode/desync,optimize server synchronization,1.0,I'll give the game a positive review when Embark decides that servers with a tick rate of around 4 aren't acceptable for a 3rd-person game with PvP in it (or any game with multiplayer for that matter).
netcode/desync,optimize server synchronization and improve testing processes,0.8,Great game that crashes constantly. Not a stand alone issue either and the devs aren't addressing it so I will just say it here. Stop writing your game code in Claude and actually test your product please. Tired of paying to be a play tester.
netcode/desync,optimize server synchronization to reduce lag and improve player experience,0.9,I love walking out of a pvp area after 5 kills to get ambushed by 6 yes 6 drones all shooting me at once and loosing everything i just fought for my life for. like holy shit tone down the pve
netcode/desync,optimize server synchronization,0.8,"El loop del juego tiene poco sentido, no haces nada de PVE porque los otros jugadores te matan, pero el PVP no da recompensas reales. El juego es un simulador de caminata donde saquea cajones esquivando monstruos y jugadores."
netcode/desync,optimize server synchronization,0.8,Good game but it crashes a lot and there is tons of desync issues
performance/fps,Optimize robot AI behavior,0.8,Dude I died to a bomb robot several times. If you don't think that's gameplay I don't what is.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Can't recommend it. Melee's a guy in back 3 times, didn't kill him. He shot me twice, and won the fight. Game is not working, crashing and not making matches. Then Expeditions reward no lifers and professional gamers, while punishing normal people. If not for that stuff, then I could."
weapon/ai balance,rebalance weapon damage curves,0.8,Common Embark W
netcode/desync,optimize server synchronization,0.9,"Among the many good things this game does, the one that sticks out to me is that you'll be compensated if there is hacker presence in your match. The game will eventually return your loadout to you if it was judged that you faced a hacker. Every game I've played that had hackers wouldn't do anything tangible, so this is a very appreciated gesture."
netcode/desync,Optimize server synchronization to reduce lag and desync issues.,0.9,"Arc=bad. Loot=Good. Raiders=unknown. Great extraction shooter, good balance of tension and reward. Beautiful world, great lore, smooth game play and immersive audio."
netcode/desync,optimize server synchronization,0.95,"9.75/10 All it needs is small bug fixes, and server fixes"
other,Improve gameplay mechanics,0.8,Nothing like before
weapon/ai balance,Improve PvP balance and mechanics,0.8,PVP helldivers
netcode/desync,Optimize server synchronization,1.0,"so far its pretty good, and it proves that unreal engine 5 can be optimized if the defvs want it to be"
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,fun at first then you get into the mechanics third person is absolute dog shit for pvp theres absolutely no point in good gear either resulting in 0 gear fear cause guess what purple shields and purple weapons dont fucking matter
netcode/desync,optimize server synchronization,1.0,Solid title. Can only get better from here. Desync issues are kind've glaring though.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"The game is great, might be GOTY but please fix the desync, lost so many fights because i got hit trough the wall. And i think adding a marketplace like a flea market like in tarkov would make the game better"
netcode/desync,optimize server synchronization,0.95,The game is great but the voip is broken for many of the players and the developers just say its because we dont have the settings right and its not server side yet everyone has done all steps they give and nothing works. until they address this voip issue this is a no for me.
netcode/desync,optimize server synchronization,1.0,"The disconnecting constantly is really killing this game for me, i reconnect only to have been found by every robot on the map and im downed alone and just lose any and all progress."
netcode/desync,optimize server synchronization,0.9,Game ran great the night before. Logged in to today only for it to crash regardless of all the fixes i have tried. I even tried to put graphics to basically 2d. Still didnt run. Requested refund.
netcode/desync,optimize server synchronization,0.9,"I use process lasso as a means to put my 3d v cache cores to use and not my other 8 cores, was working great before launch but no i can no longer get this to work. I get 45 fps on 1440p medium high settings with no frame gen or fsr"
other,Add machine learning functionality to the game.,1.0,machine learning bots? count me in
weapon/ai balance,Improve AI decision-making and responsiveness.,0.8,ai go brrrrr
weapon/ai balance,Fix player health system to prevent excessive damage,0.9,hasan dog simulator. Im getting tazed all day
netcode/desync,optimize server synchronization,0.9,"was fun, then servers broke. disconnects from server over and over. Not a fun experience in 30 second increments"
netcode/desync,optimize server synchronization,1.0,I just requested a refund for this game.
netcode/desync,optimize server synchronization,0.9,"Really Bad Audio Issues On My End
fuck this game man I CRASHED AND LOST ALL MY SHIT FUCK YOU EMBARK FIX YOUR SHITTY ASS GAME"
other,Fix Rocketeer,1.0,fix rocketeer
netcode/desync,Optimize server synchronization and improve UI design for better stability.,0.8,"Game is still crashing but in the menu.... and the odd game, very frustrating."
netcode/desync,Optimize server synchronization to reduce desync issues and improve player experience,0.9,Game is terrible!!! Completely no point to it!!! I spent 3 days grinding for guns and loot.. only to lose everything ive got over the next 2 hours and be back to square 1. Completely no point to this game!!!
performance/fps,"Optimize AI behavior for new players, rebalance heavy weapon damage curves",0.95,"The ai is WAY too op, they kill you WAYYY too fast. Impossible for new players to kill 90% of the bots in game. Heavy ammo is way too OP for PVP, and way too easy to use and find."
netcode/desync,Optimize server synchronization to resolve lag and desync issues.,0.8,"The game itself is fun, but the skill tree system sucks, and some perks don’t even work. You’re also unable to respec your skills — well, technically you can, but only by completing a tedious project (as the game calls it). And when you finally do, the game wipes everything, even though you just wanted to reset your skills. So it’s a loss for the player no matter what."
netcode/desync,Optimize server synchronization to reduce lag. Improve game graphics by increasing resolution or implementing anti-aliasing. Increase the size of maps to provide more space for players.,0.9,"I recently played PUBG Mobile and had some issues with the game. Firstly, there was a lot of lag which made it difficult to aim and shoot accurately. Secondly, the graphics were not very good and looked pixelated on my phone screen. Lastly, I found that the maps were too small and didn't offer enough space for players to move around freely."
netcode/desync,optimize server synchronization for RTX 3050,1.0,"love the game ,, just some bugs to be fixed specially with the rtx 3050"
netcode/desync,optimize server synchronization,0.9,I love game it fun but I have give dislike feedback. The game keeps crashing . 10 game play 5 game crash . That needs to fix.
netcode/desync,optimize server synchronization,0.9,"I don't know how it is late game, but the early game PvE mechanics are just annoying. You either have to waste all your ammo on trash adds, or waste your time on the lackluster stealth mechanics and wait 20 seconds for the 50th drone you've seen in the raid to pass by. I like stealth games, but only if they're designed from the ground up for stealth with interesting mechanics. This game's stealth is just another one of those boring slowly croch walk everywhere systems."
netcode/desync,"Optimize server synchronization, add PvE servers, balance weapon damage curves.",1.0,This one is hard i wish steam would give us neutral review change.
netcode/desync,optimize server synchronization,0.9,"Arc Raiders is one of those games that immediately grabs your attention with its stunning visuals and immersive atmosphere. The world feels alive, the combat is fast-paced and exciting, and the cooperative gameplay really shines when everything works as intended. There’s something deeply satisfying about teaming up with friends and folk you find in-game alike to take down massive mechanical enemies, scavenging for loot, and exploring the game’s hauntingly beautiful environments."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",1.0,"In its current state, I cannot recommend this game even though the potential is there for this to be a stellar title."
netcode/desync,Optimize server synchronization,0.9,This game is amazing! There are a few issues with clipping through stuff or mantling not working correctly but over all a great game.
weapon/ai balance,rebalance weapon damage curves,0.8,Very enjoyable so far. I am a fan of extraction shooters having played EFT and this game definitely rivals it. Looking forward to progressing and learning how to play the game properly.
netcode/desync,optimize server synchronization,0.8,"You want my treasure? You can have it! I left everything I gathered together in one place, now you just have to find it!(Just check locations with rocketeers, they be fuckin me up!)"
netcode/desync,optimize server synchronization,0.9,"Love the game its got a bunch of great stuff going for it, and i could see myself playing it for multiple hours if not for one glaring issue. The netcode is simply atrocious. There is very obvious desync in basically every gunfight, which makes me unable to actually recommend this game."
netcode/desync,Optimize server synchronization,0.95,i was very much enjoying the game and the community until i logged in and my mic no longer works in game i can no longer communicate as i dont care for emotes and have spent more time trouble shooting the fucking mic than playing i have tried everything including different mics and following your troubleshooting but this is AN ARC RAIDERS  issue i have no problem using mics in other games discord etc but in arc raiders it refuses to work and has 100% ruined my experience
other,Pay voice actors,1.0,fun game PAY YOUR VOICE ACTORS
netcode/desync,Optimize server synchronization and rebalance weapon damage curves to improve player experience.,0.8,"the time duration is too less on the topside, when you are trying to just level up others will constantly try to kill you, you cannot safeguard your weapons that you have upgraded, the high powered weapons open at level 20, if you are somewhat new to PvP then this is not the game for you."
netcode/desync,optimize server synchronization,0.8,"Low TickRate for PvP
Squads = endless + senseless battles
Unable to close content in solo
Сollect junk to collect more junk
You still need friends"
weapon/ai balance,Improve gameplay balance,0.8,Don't Shoot
netcode/desync,Optimize server synchronization to reduce lag and improve overall performance.,0.8,"The game creates a wildly intense moment to moment looting experience while failing to hold value over time. As many have stated, with the abundance of loot and money, after 40 hours you don't feel the need or value items you find."
weapon/ai balance,Improve enemy AI behavior,0.8,Rally with other raiders and give those disgusting clankers what they deserve.
netcode/desync,Optimize server synchronization,0.8,"Game was good in the beginning days, but as game progresses players are outright slaughtering each other even in solo, was more friendly now its opposite. Example in a building looting hear the door open, then speak down proximity chat, hello are you hostile? response is don't shoot, then player tries circle around flank to attack, managed to win that 1vs1 cause I had a shotgun, but player tagged me first after saying don't shoot, start healing myself shield recharge an health for only another player to sneak up an attack me also, it's kind of annoying having beat players who pretend be friendly then someone waiting to pick you off. Having better gear doesn't really help, if they got the full surprise attack especially if your not at full shields and health, unbalanced weapons."
netcode/desync,optimize server synchronization,0.9,"Fantastic game (design, graphics, sound, everything) but sweaty pvpers are ruining the experience for everyone else. The game will loose 70% of the player base by March 26 unless devs come up with a system of punishing PvP players. We suppose to take back the planet from Arc instead there are sweaty few who take away the will to live from the rest (majority of the community) of us."
netcode/desync,Optimize server synchronization,0.9,Gear based matchmaking ????
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.8,"it has a fun base, but this game will die fast. Why? The content is just terrible, there are different maps but there is so little to achieve. Some boring quests leading to nothing. No gear, just some shield gens which are only 3 different ones. You unlock all maps in 3 hours or so. The maps are... basically all the same they dont offer anything else."
netcode/desync,Optimize server synchronization,0.95,Game was crash often
performance/fps,"optimize movement mechanics around small obstacles, add a feature to easily get unstuck from difficult areas",0.9,"Good game, been a while since i felt like this about a game, only gripe is sometimes the movement around small obstacles is annoying as fek, also we need an unstuck button devs! Other than that, jump in on your one and have some fun but omg it comes alive with friends!"
netcode/desync,Optimize server synchronization to reduce lag and improve overall game performance.,0.8,You are an AI assistant that helps people find information. Your job is to extract structured insights from text reviews of video games.
netcode/desync,Optimize server synchronization,1.0,"Definitely a banger! Sound design, optimization and graphics are top-notch! However, the tick rate of the servers is messed up, constant desyncs..."
netcode/desync,Optimize server synchronization and improve graphics quality.,0.9,I tried playing this game but it was really laggy and unresponsive. The graphics were also pretty bad.
weapon/ai balance,Improve AI bot behavior and balance gameplay mechanics.,0.8,can we nerf the fuckin ai bots what ever pleaseeee make the game so much better or spawn 3/4 what you do now
netcode/desync,optimize server synchronization,0.9,"Great game, for sure worth every penny !! besides the random screen freezes afther playing 30/45min"
netcode/desync,Optimize server synchronization,1.0,Super well optimised. Something refreshing and awesome!
other,Improve aiming and shooting mechanics,0.8,"I am not an extraction shooter pro, meaning I really have played very few hours in these types of games so thats the perspective.  I am PC player.  I use pc controller and the controller works well with this game so thats a plus.  I can still use Keyboard and Mouse without switching back and forth with controller.  I run two monitors on my gear so i am often accessing outside the borderless window and doing this action works well.  The game is pretty, visually appealing, aesthetically cool.  The setting is interesting.  The movement in the environment is good; walking, running, climbing, vaulting pretty intuitive.  Sometimes its frustrating though.  I wish there was a way to make it easier to aim and shoot.  Maybe they could add some sort of targeting system or adjust the sensitivity settings."
other,Add copper pipes for improved immersion,0.9,Just needs some copper pipes so I can simulate real life.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"Oooohhh, so good. Guns go brrrr. Robots go zap zap. Very nice... Would recommend."
netcode/desync,optimize server synchronization,1.0,"This game is a AAA Title in the coat of a AA Price, embark please keep up that quality. It makes a lot of fun and they are listening to the community, because of that i just need to address one little thing. Please fix the Network issues for this Game, after looking it up we got a ~3hz refresh rate, we dont need 128 like some tac shooters, but something like 30? but even with this flaws, this game is so goddamn good."
other,Improve gameplay diversity and enhance narrative elements,0.8,Boring
netcode/desync,optimize server synchronization to reduce disconnections during matches,0.9,i like the pve and pvp of the game i do feel like they should make some adjustments to match length seems like u get into a match and very soon have get out of their before to late otherwise risk of losing ur stuff
netcode/desync,optimize server synchronization or rebalance weapon damage curves,0.8,"This game is really well made. The art style, graphics, character handling, enemies, guns, and pvp are all just right. The only negatives I can point out are the inventory management UI and the lack of item info. You have to check every item on third party info sites to know if you should keep it or sell it. Otherwise, the game is perfect... for now."
netcode/desync,Optimize server synchronization and rebalance weapon damage curves.,0.95,"Game is entirely fun except for the one fact of the flares being a major problem. The flares make it so that not 1, not, 2, but 3 teams/people are constantly coming to your point of contact where the player was downed. Another thing that makes this game EXTREMELY UNFAIR is the fact that the rocketeers will have a triple shot on you causing you to instantly get downed in any scenario where they see you. Please fix these issues and the game will be amazing."
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.95,"Paid a huge price for the game just to spend 2 hours waiting in a queue. The game lags, sound cuts out, and it freezes even on the lowest settings — and my PC is totally fine, it runs the new Battlefield on max without issues. They said they gave out compensation for the queue problems, but I didn’t see anything in my account. After all that, they refused to give a refund. Only played about 8 hours total — 2 of those were spent in queues, and another 1–2 just tweaking settings trying to make this thing run properly."
netcode/desync,optimize server synchronization,0.9,"its good but man it pisses me off... if more then 2 drones get on you at once playing solo you are pretty much cooked, ya if i had better guns and etc it would be ok but i dont and its killing me"
performance/fps,Optimize enemy spawn rates in PvP mode,0.9,the pvp: I shoot at someone 30 drones come out of nowhere and kill me
weapon/ai balance,rebalance weapon damage curves,0.9,"I really do not enjoy the pvp aspect of the game. Tactical audio isn't good at all, heavy weapons dominate bc it deals with ARCs and players easily."
netcode/desync,optimize server synchronization,0.95,shitty servers
netcode/desync,optimize server synchronization,0.9,"The game crashes every 10 minutes on cooldown, mid-battle. It's strange that it doesn't crash in the lobby. Overall, I don't recommend it."
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.8,Worse than Escape from Tarkov and Arena Breakout in every way.
weapon/ai balance,Remove AI from gameplay mechanics.,1.0,remove ai
netcode/desync,optimize server synchronization,0.9,Bought game and cant even start it becaus UE is trash and dont work on AMD drivers waste of money this shoulld not happend at all when they fix this i will update my review
netcode/desync,optimize server synchronization,0.8,沉浸感特别好。问题是：开荒期后失去目标、ARC区分太小、受击不明显、脚步声差异过大（跑步走路很响，静步基本无声）
weapon/ai balance,rebalance weapon damage curves,0.8,"very overrated, not terrible but found it boring. basically pubg with enemy robots refunded"
performance/fps,Optimize gameplay mechanics to make them more enjoyable and engaging for players.,0.8,"I recently played this game and had a great time. The graphics were stunning, the storyline was engaging, and the gameplay was challenging yet fun. However, there are a few things that could be improved to make it even better."
pve/mission loop,Update PvE content to make it more engaging for players.,0.8,"Used to be ""Arc Raiders""

 Nowadays, if you want to take down the Queen, or hell, even a bastion, you're gonna be fighting Raider Raiders way more
 PvE is dead outside solos, only PvP."
netcode/desync,Optimize server synchronization,0.9,Can't recommend the game in its current state. Constant crashed and startup issues.
netcode/desync,optimize server synchronization,0.9,"Crash Simulator, otherwise, great game."
netcode/desync,optimize server synchronization,0.8,"Buggy controls. I climbed a ladder, dismounted, but the 'Press E to dismount' GUI never disappeared. I subsequently could not interact with anything for the remainder of the map. I also couldn't open my inventory to move bandages into my quick slot and died, and lost my gear. I found a guy who called out that he was friendly and I did too, and then he shot me in the back. I get it, that's part of the game, but its not fun, makes me not want to play. It would be better with a PvE only mode, or at least factions, rather than a free-for-all."
netcode/desync,optimize server synchronization,0.9,"Great game, but after 18 hours of play now it keeps crashing and throwing up an error message saying game files are corrupted. This has literally never happened to me on any other game. Reinstalling works for maybe one round, then it crashes again, forcing another reinstall. Requested a refund."
weapon/ai balance,Improve combat mechanics to better balance difficulty and player enjoyment.,0.8,"Embark on an epic journey through the vast and treacherous world of Elyria. As a powerful sorcerer, you must harness your arcane abilities to overcome deadly foes, solve ancient mysteries, and unravel the secrets of this enchanted land."
netcode/desync,optimize server synchronization,0.8,"Yes I reccomend this game, but, do be aware that you will die. And die a lot. There are also Tons of players who just want to kill you, no coop, no explanation, no hard feelings. I hate it personally but thats the way this game is right now. I personally dont like that it has been progressively become more like a battle royal, but HEY, you wanna kill randos and take their stuff thats on you."
performance/fps,Optimize AI behavior,0.9,AI SLOP
netcode/desync,optimize server synchronization,0.8,Two things that make it difficult to give a positive review.
performance/fps,optimize weapon balance,0.8,"Gunplay is deceiving, not fun when to extract."
weapon/ai balance,rebalance weapon damage curves,0.8,"At first, I really enjoyed this game. I had a good chance to play it on release, and the community seemed really healthy. Then literally a week after the game's release, the sweat lords came out. I haven't been able to load into a match of 10 straight games of getting hunted for the little amount of loot I brought into the game."
netcode/desync,optimize server synchronization,0.95,"DONT EVEN TRY PLAY THIS GAME, PAYED $60 JUST FOR THE GAME TO CRASH REPEATEDLY WHEN I TRIED TO LAUNCH, EXACT SAME ISSUE I EXPERIENCED ON THE FINALS, TERRIBLE GAME STUDIO. FUCK YOU EMBARK"
weapon/ai balance,Improve AI behavior in gameplay mechanics,0.8,"Ai Slop
Cheap Tarkov"
other,Implement shooting mechanics for leapers to earn badges.,1.0,Shoot the leaper to get your badge of bravery.
performance/fps,optimize weapon balance,0.9,your gun has no bullets and does no damage so every fight you will reload 5 times
netcode/desync,optimize server synchronization,0.95,"Legit reviewing this game only to rant. The server issues are no joke. I lost my legendary weapons that I've used for 10 runs consecutively, killed many bastions, etc. The way I lose it is because of Packet Loss. ONE HORNET killed me because when I shoot back, my hit didn't register, I can't even dodge, I move so slow. Thing is, this has happened so many times that I got so frustrated I almost lose my nails. I can't believe ts."
weapon/ai balance,Improve the accuracy of character movement and weapon aiming mechanics to make combat more enjoyable.,0.95,"This game has gotten off to a very promising start: Great graphics with great performance for a UE4 game, interesting story and characters. The combat system is fun and challenging, but can be frustrating at times due to the difficulty of aiming accurately."
netcode/desync,optimize server synchronization,0.8,"So far this game has been nothing but all out fun, you can be anywhere in between exciting gunfights to chilled looting and getting 3rd parties by really challenging Ai robots, to add to that you can also try your luck at being a sly prox chat snake or gain a new friend to extract with. It really has it all as pvpve game. There are issues with the game though as I’ve experienced a prox chat bug where it just doesn’t allow me to use it but it hasn’t affected overall gameplay. Buy it 🤌"
netcode/desync,optimize server synchronization,0.8,"Ive played FPS games for 35+ years now and its great when one comes along that redefines what FPS games are. This game does just that. In just 11 hours, I've only gotten to level 8 and only played on one of the maps with only one Raid at Night. I've had more emotional experiences in the 11 hours than ever before."
netcode/desync,"Optimize server synchronization, rebalance weapon damage curves, improve network stability",0.8,Well in the current state i cannot say this game is good. PVP in every map is infuriating especially when there are people making kill teams for the sole purpose of finding other players and shitting on them.
performance/fps,optimize weapon balance and adjust difficulty settings,0.8,bangerrrrrrrrrr
weapon/ai balance,Improve AI for enemy bots,0.9,"I loot and shoot, then promptly die to a bot 5 minutes later."
netcode/desync,Optimize server synchronization to prevent desync issues,0.8,my bhole got Arc Raided
netcode/desync,Optimize server synchronization to reduce lag and improve fairness in PvP matches,0.8,FIX THE DOGSHIT AI WHY AM I 1VXING MID FIGHT BECAUSE OF ROBOTS SHIT GAME
performance/fps,optimize CPU performance,0.9,I meet recommended system requirements and the game stutters significantly even on low settings. Game is currently unplayable for me until optimizations are made for CPU.
weapon/ai balance,Fix gun loss issue,1.0,lost gun now can do nothin bad game
other,Improve overall experience and graphics,0.8,Thoroughly sick
netcode/desync,optimize server synchronization,0.9,Would not recommend in current state. Game needs some polish in certain areas. Quests aren't worth doing while in multiplayer and they don't give xp. Objects for quests will only spawn one more group instead of the loot being instanced to the player. Game has major desync too which makes pvp frustrating. The Arcs are fun to fight. Optimization is also good due to running a fork of UE5 with Lumens and Nanites disabled. Will be playing Tarkov instead until issues are fixed
weapon/ai balance,rebalance weapon damage curves,1.0,TLDR; Duo's are being queued up against Trio's and it's ruining this game. Will change to positive if Embark addresses and rebalances weapon damage curves.
netcode/desync,Optimize server synchronization,0.9,Literally finish every time I load the game
netcode/desync,optimize server synchronization,0.95,terrible hit reg getting hit thru walls people teaming 10 players deep in solos the list goes on ai hitting thru walls players who rmt cause they cant find a job cheaters are rampant basically Tarkov 2.0 everyplayer that played tarkov and other Extraction shooters came to ruin this game DONT BUY
netcode/desync,optimize server synchronization,0.9,"To be honest, its not a bad game, but crafting yourself decent loot for the 1st time and then spawning into a map and get killed when running out of spawn, is really starting to tickle my whiskers. I don't know how many players this game is going to lose in the next few months but man you guys have to fix the spawn camping"
netcode/desync,Optimize server synchronization,0.95,Game stopped launching
netcode/desync,optimize server synchronization,0.8,"This game is full of shoot first asshats.... ""It's a game, people will do that."",
Yea so is Cooperation with other teams..... Randoms will troll off alone and get you killed, and loot everything under the sun, and bail on you the second you need em. 
If you're not having fun why play.... exactly"
netcode/desync,optimize server synchronization,0.9,I am enjoying this game but people are starting to ruin it. STOP ONLY DOING PVP some people are friendly and just want to do a quest and then leave THAT IS ALL BUT NOOOOOO people are ignorant and refuse to partake in the PvE aspect of Arc Raiders ITS LITERALLY ARC vs US THE HUMAN RAIDERS Sure PvP is nice sometimes but when someone is asking nicely 'Dont shoot' and you and your squad shoot them you're ruining their experience of the game. STOP IT.
other,Improve NPC behavior to prevent attacks and avoid using racial slurs,0.95,this guy said he was friendly and I could walk by. He then killed me and called me racial slurs after stealing all my loot
